epoch,loss,policy_acc,policy_loss,val_loss,val_policy_acc,val_policy_loss,val_value_acc,val_value_loss,value_acc,value_loss
0,6.345305160369873,0.01549,5.4687233,5.627698713989258,0.0244,5.292037,0.60149,0.23971823,0.60138,0.24094796
1,5.231571204376221,0.04351,4.886702,5.278386251373291,0.03985,4.946067,0.60149,0.23971017,0.60316,0.2395218
2,5.045659051971436,0.06469,4.68984,5.2012526893615725,0.04822,4.841679,0.60149,0.2397621,0.60316,0.23939078
3,4.874913987655639,0.08821,4.483659,5.073461846313476,0.07752,4.6522985,0.60149,0.23976944,0.60316,0.2393915
4,4.447350247955322,0.20811,3.9400523,4.720323890380859,0.1834,4.2241025,0.60149,0.23975854,0.60316,0.23938608
5,4.429106252593994,0.22764,3.9534924,4.3002986256408695,0.23853,3.8357365,0.60149,0.23971146,0.602,0.23970082
6,4.052694666061401,0.26276,3.5884292,4.332010754241943,0.23416,3.874311,0.60149,0.2397049,0.602,0.23970178
7,3.781834848022461,0.29021,3.3227003,4.318057071151733,0.23415,3.8640685,0.60149,0.23971085,0.602,0.23969692
8,3.5761157372283936,0.31753,3.121561,4.232837430038452,0.24057,3.78217,0.60149,0.23970522,0.602,0.23968671
9,3.420169375190735,0.34032,2.9649749,4.294301143264771,0.23611,3.841973,0.60149,0.2397066,0.602,0.23969479
10,4.025279826278687,0.25944,3.5936303,3.9976114046478273,0.26712,3.5769942,0.60149,0.23968531,0.60151,0.23973115
11,3.800786410598755,0.28178,3.3786209,3.943193090057373,0.26316,3.5206423,0.60149,0.23968537,0.60151,0.23973046
12,3.6231644127655027,0.30164,3.1969013,3.9325664333343506,0.26038,3.5057194,0.60149,0.23968573,0.60151,0.23972571
13,3.472635754318237,0.32179,3.041411,4.004672830505371,0.25299,3.5726256,0.60149,0.23968542,0.60151,0.23972869
14,3.3462022058105467,0.34183,2.9099658,4.0623085822296146,0.24664,3.624235,0.60149,0.23968436,0.60151,0.23972486
15,3.89222455406189,0.26919,3.4736276,3.8988859048461912,0.27169,3.4894009,0.60149,0.23969756,0.60366,0.2392991
16,3.703422112045288,0.28944,3.2933373,3.8862873164367677,0.26913,3.475294,0.60149,0.23969685,0.60366,0.23929882
17,3.553054920196533,0.30655,3.139159,3.9008624663543703,0.26765,3.485209,0.60149,0.23969832,0.60366,0.23929693
18,3.419958924484253,0.32474,3.0008872,3.9800131133270265,0.25918,3.559185,0.60149,0.23969848,0.60366,0.2392966
19,3.3022607592773436,0.34313,2.8785596,4.05820532989502,0.25148,3.6319995,0.60149,0.23969768,0.60366,0.23929632
20,3.814963695220947,0.27402,3.4038875,3.8089916300964357,0.27487,3.4067492,0.60149,0.2397084,0.60381,0.23924746
21,3.6456396601104735,0.29277,3.2413616,3.78512314994812,0.27158,3.3800817,0.60149,0.23970819,0.60381,0.23924989
22,3.5108281653594973,0.31089,3.1012697,3.817949354248047,0.26547,3.4073691,0.60149,0.23970775,0.60381,0.23924896
23,3.3879238262939455,0.32796,2.9726655,3.873782925720215,0.2577,3.4572656,0.60149,0.23971689,0.60381,0.23924841
24,3.274744040527344,0.34535,2.8551593,3.9625439488220215,0.25162,3.5436742,0.60149,0.2397331,0.60381,0.23924749
25,3.7567299543762207,0.28046,3.3513453,3.7770230630493162,0.27361,3.3797004,0.60149,0.23968956,0.60118,0.23977536
26,3.6007538481140138,0.29832,3.202807,3.7923490324401854,0.2731,3.3928626,0.60149,0.23968928,0.60118,0.2397749
27,3.478452854614258,0.31419,3.0763094,3.8288398931121828,0.26722,3.42608,0.60149,0.23968847,0.60118,0.2397725
28,3.362791014480591,0.33074,2.9553952,3.9040485844421386,0.26051,3.4961858,0.60149,0.23968878,0.60118,0.23977266
29,3.2597023765563966,0.34614,2.8474102,3.9343026278686524,0.25758,3.5216374,0.60149,0.23968852,0.60118,0.23977162
30,3.7285741300964355,0.28186,3.3275704,3.8702579976654055,0.26339,3.475735,0.60149,0.23968543,0.60358,0.23930354
31,3.5854704235839843,0.29913,3.1900053,3.7985789149475098,0.26488,3.402032,0.60149,0.23968609,0.60358,0.23930195
32,3.4719762782287598,0.31419,3.0726943,3.9356453604888917,0.24887,3.5346043,0.60149,0.23968701,0.60358,0.2393012
33,3.360488190498352,0.32978,2.9568434,3.8737652724456786,0.25329,3.4685378,0.60149,0.23968722,0.60358,0.23930041
34,3.2621973196029663,0.34566,2.853784,3.9012097248840334,0.25472,3.4916103,0.60149,0.23968731,0.60358,0.23929968
35,3.6868340370178223,0.28416,3.2895832,3.7901609393310545,0.26941,3.399519,0.60149,0.23969044,0.60209,0.23961475
36,3.5527741508483888,0.29816,3.1611733,3.7570321212768554,0.27517,3.3636262,0.60149,0.23969017,0.60209,0.23961659
37,3.4439639601135252,0.31349,3.04844,3.780235623397827,0.27187,3.383641,0.60149,0.23969038,0.60209,0.23961635
38,3.3387226483154295,0.32833,2.9391062,3.7863517244720457,0.26891,3.3852277,0.60149,0.23969036,0.60209,0.23961602
39,3.241392712860107,0.34478,2.8370876,3.872779367523193,0.25944,3.4677126,0.60149,0.23969041,0.60209,0.23961572
40,3.660683585357666,0.28349,3.2669916,3.6970653238677977,0.28067,3.3098636,0.60149,0.23974992,0.60456,0.23911309
41,3.533536811981201,0.29899,3.1456013,3.786741997375488,0.26924,3.3974204,0.60149,0.23974958,0.60456,0.23910604
42,3.429463262634277,0.31129,3.0379813,3.7359701251220705,0.27653,3.3425875,0.60149,0.2397482,0.60456,0.23910585
43,3.3287601969909666,0.32732,2.933058,3.858452021560669,0.26441,3.4617069,0.60149,0.23972844,0.60456,0.23910183
44,3.2352131619262696,0.34257,2.8351593,4.1344908032989505,0.24238,3.7328558,0.60149,0.23973057,0.60456,0.23909529
45,3.6491926023101806,0.28682,3.257651,3.6395461196136476,0.28891,3.2540503,0.60149,0.23968436,0.60289,0.2394351
46,3.52890282119751,0.30074,3.1421583,3.6740311299896242,0.28286,3.286219,0.60149,0.23968507,0.60289,0.23943473
47,3.4286542891693115,0.31544,3.0380008,3.703102020187378,0.28179,3.311488,0.60149,0.23968418,0.60289,0.2394345
48,3.331616124649048,0.33078,2.9369998,3.7335783155059814,0.27938,3.3377314,0.60149,0.23968084,0.60289,0.23943305
49,3.2381208292770385,0.34533,2.8387847,3.7618380026245117,0.27224,3.361685,0.60149,0.23968273,0.60289,0.23943235
0,3.6283447241973876,0.28759,3.2378492,3.6428815816497804,0.28739,3.2588353,0.60149,0.23968536,0.60446,0.23912346
1,3.5134036820983887,0.30187,3.1273847,3.65973540763855,0.28159,3.273289,0.60149,0.23968561,0.60446,0.23912242
2,3.4161011805725097,0.3162,3.0275533,3.677987610168457,0.28045,3.287973,0.60149,0.23968512,0.60446,0.23912075
3,3.323303748397827,0.33051,2.930545,3.712449469299316,0.27509,3.3187506,0.60149,0.2396864,0.60446,0.23912004
4,3.2350824422073363,0.34471,2.8385756,3.763093061676025,0.26914,3.3665218,0.60149,0.23968734,0.60446,0.23911965
5,3.608265142211914,0.28898,3.2208579,3.620252640914917,0.28507,3.2384534,0.60149,0.23969765,0.60086,0.23987025
6,3.49924084564209,0.30334,3.1154401,3.6249418367767334,0.28329,3.24045,0.60149,0.2397048,0.60086,0.23986904
7,3.4089684568786622,0.31489,3.0212076,3.6868028995513917,0.27107,3.298855,0.60149,0.2397042,0.60086,0.23986278
8,3.3193073028564455,0.32829,2.927699,3.7108693076324464,0.27067,3.31896,0.60149,0.23970053,0.60086,0.23985244
9,3.23266224609375,0.34302,2.836791,3.78548121887207,0.25921,3.3896203,0.60149,0.23970018,0.60086,0.23984547
10,3.596048374328613,0.29072,3.2103784,3.667999587249756,0.28766,3.2868457,0.60149,0.23968542,0.60496,0.2389991
11,3.4913509898376467,0.30429,3.109918,3.6918968296813963,0.2804,3.3090646,0.60149,0.23968771,0.60496,0.23900174
12,3.403886072845459,0.31633,3.01919,3.684051363067627,0.28034,3.2969902,0.60149,0.23968607,0.60496,0.2390084
13,3.316101060714722,0.32923,2.9273226,3.725934561920166,0.27669,3.3357027,0.60149,0.23968759,0.60496,0.23900354
14,3.232066739501953,0.34536,2.8393426,3.732014164428711,0.27494,3.3379066,0.60149,0.23968801,0.60496,0.23900625
15,3.6004449349975585,0.29088,3.2151737,3.6677696662902832,0.28101,3.2865467,0.60149,0.23967707,0.60198,0.23958491
16,3.4992141326904296,0.30246,3.1172361,3.6497006790924074,0.28204,3.2659004,0.60149,0.23967819,0.60198,0.23958658
17,3.414670026702881,0.31354,3.0289676,3.6923281286621092,0.27548,3.3048954,0.60149,0.23968133,0.60198,0.23958649
18,3.3276536742401124,0.32738,2.9384809,3.7069415323638917,0.27372,3.3163965,0.60149,0.23968056,0.60198,0.23958693
19,3.246780544128418,0.34072,2.8534048,3.742128808517456,0.26862,3.34718,0.60149,0.23968205,0.60198,0.23958722
20,3.586443606491089,0.29053,3.200942,3.5892800792694093,0.28675,3.2079642,0.60149,0.23970638,0.60398,0.23920156
21,3.4859735888671874,0.30298,3.1054735,3.6146425370025637,0.28409,3.232848,0.60149,0.2397061,0.60398,0.23920184
22,3.401455646362305,0.31465,3.0183902,3.6388779829406737,0.28269,3.2543454,0.60149,0.23970588,0.60398,0.23920174
23,3.317772229232788,0.32662,2.9313533,3.6849442041015625,0.27606,3.297341,0.60149,0.239705,0.60398,0.2392008
24,3.2373963092041014,0.33949,2.8474028,3.672492155380249,0.27441,3.281516,0.60149,0.2397049,0.60398,0.2392013
