epoch,loss,policy_loss,val_loss,val_policy_loss,val_value_loss,value_loss
0,6.4396345068359375,5.5481567,5.614875078201294,5.2574883,0.23809671,0.24089925
1,5.290800595855713,4.9374714,5.294322967529297,4.933711,0.23896584,0.23946902
2,5.113384471282959,4.7403975,5.219574451446533,4.844049,0.23895518,0.23933914
3,4.961826742553711,4.5281506,5.0233358383178714,4.513529,0.23891285,0.23932505
4,4.532409579086304,3.9883258,4.920848655700683,4.392348,0.23895049,0.23932734
5,4.450486094512939,3.9549196,4.4066368579864506,3.9203677,0.2389179,0.23979653
6,4.088075070953369,3.5982382,4.276451110839844,3.792207,0.23892024,0.23978476
7,3.8272433039855955,3.3388581,4.245186924934387,3.7616024,0.23895077,0.2397809
8,3.6458081749725344,3.1609545,4.249957418441772,3.767096,0.2389336,0.23977897
9,3.5152512676239014,3.029044,4.347032856941223,3.8659184,0.23892078,0.23977631
10,4.108706839065552,3.6487572,3.984502577781677,3.5331569,0.23893759,0.23932321
11,3.898402849731445,3.4423153,3.9232699394226076,3.4687018,0.23897123,0.23932995
12,3.7289917363739016,3.2700658,3.9514211654663085,3.4933171,0.23896036,0.23932856
13,3.5880228986358644,3.1259546,4.015421271324158,3.5553222,0.23896399,0.23932667
14,3.4718575554275515,3.0085175,4.078361129760742,3.6179886,0.2389563,0.23932622
15,3.9694000450897216,3.521231,3.893961191177368,3.4536374,0.23895633,0.23917319
16,3.8018983889770506,3.3570175,3.9652680158615112,3.5217109,0.2389566,0.23917092
17,3.661585118560791,3.2129514,4.013046073913574,3.5660076,0.23895665,0.23917022
18,3.5311827645492553,3.0787034,4.060545015335083,3.6100097,0.23895673,0.23916912
19,3.4285815575027465,2.972779,4.062519669532776,3.6089902,0.23895666,0.23916826
0,3.8986112382507323,3.4576604,3.936091446876526,3.5026271,0.23893933,0.23960152
1,3.7461964785003663,3.3096118,3.914967250823975,3.4812417,0.23893902,0.23959768
2,3.6175861267852785,3.1779995,3.875093913078308,3.437352,0.23893876,0.23959683
3,3.499300400314331,3.0562463,3.9067180871963503,3.4665306,0.23893845,0.23959611
4,3.3970393418884277,2.950834,3.9542771339416505,3.5112624,0.23893778,0.2395953
5,3.85581753074646,3.4201188,3.8687131643295287,3.4381585,0.23893261,0.23985822
6,3.723566420288086,3.289651,3.870539355278015,3.4376857,0.23893258,0.23985825
7,3.6073492236328124,3.1708877,3.9119484663009643,3.4767895,0.23893252,0.2398579
8,3.5008852268981934,3.0613744,3.9815016984939575,3.5420914,0.23893237,0.23985744
9,3.399966628417969,2.9567137,3.989946126937866,3.5485294,0.2389322,0.23985699
10,3.8243983143615723,3.3926818,3.931029486656189,3.50512,0.23893213,0.23986736
11,3.7035501374053954,3.2749233,3.9325581789016724,3.5050907,0.23893197,0.23986953
12,3.600613076477051,3.1689048,4.008870315551758,3.5789237,0.23893186,0.23986888
13,3.5007821270751953,3.066039,3.9307288408279417,3.4971592,0.23893175,0.2398684
14,3.4043192586517335,2.9662974,4.0082087278366085,3.5716507,0.23893169,0.23986828
15,3.7833701099395753,3.355852,3.7272335290908813,3.3066978,0.23894557,0.23993494
16,3.6732469800567626,3.2484658,3.8013449907302856,3.3766837,0.2389452,0.23993562
17,3.575811418991089,3.1470053,3.7495115995407104,3.3215733,0.23894486,0.23993531
18,3.476239379425049,3.0430164,3.881409001350403,3.4487827,0.2389445,0.2399352
19,3.3851388817596435,2.9474978,3.8688489198684692,3.433934,0.23894425,0.23993495
