epoch,loss,policy_loss,val_loss,val_policy_loss,val_value_loss,value_loss
0,6.263938560638428,5.4735765,5.66983275466919,5.322624,0.24022533,0.24047765
1,4.967090211334228,4.599827,5.092159326171875,4.6848335,0.23975636,0.2397061
2,4.495748494110107,4.0716476,4.66207477897644,4.2192345,0.23978978,0.23966432
0,4.066708579788208,3.6194184,4.567045202387422,4.124758,0.23903643,0.23966293
1,3.781174588775635,3.3338442,4.617768605380679,4.1741843,0.23906957,0.23966086
2,4.2353163790893555,3.8177624,4.258359283780747,3.804625,0.23887424,0.23955624
3,3.9288558284759523,3.5125077,4.166925808005749,3.745308,0.2388774,0.23956761
4,3.6842536569976807,3.263231,4.189658127868099,3.7763872,0.23888072,0.23956385
5,3.4854162966537476,3.0584688,4.28421973851698,3.858563,0.23888212,0.23956805
6,3.3210004023361206,2.8892365,4.444759175975694,4.0208097,0.238882,0.23956685
7,4.029564202270508,3.6210258,4.028154477635935,3.6306584,0.2388815,0.23970915
8,3.759512880706787,3.363263,3.9776138900947977,3.5798175,0.23888206,0.23970607
9,3.5498868090820315,3.1498008,4.0295912131571825,3.6331456,0.23888198,0.23970345
10,3.3697656713104247,2.9651542,4.101437208240728,3.6995358,0.23887807,0.2397033
11,3.223368367996216,2.812973,4.221959471956754,3.813985,0.23887642,0.2397002
12,3.93266358291626,3.5386035,3.9609395265579224,3.574593,0.23888458,0.23872887
13,3.683173127975464,3.2942712,3.9334491989505826,3.545079,0.23888865,0.23873726
14,3.4800493479919434,3.0872278,3.985447682805661,3.5929685,0.23889455,0.23873252
15,3.3078467179107665,2.9100018,4.086162665251221,3.687584,0.23891622,0.23872358
16,3.1698506450653077,2.7664592,4.137724590962375,3.7332537,0.23889828,0.23872165
17,3.8650027225494386,3.4729495,3.8248444836276936,3.4395034,0.23901516,0.2387223
18,3.6328092836761474,3.2462223,3.8220651055704047,3.4345284,0.2390083,0.23872817
19,3.4422995125579834,3.0514383,3.8463585536871383,3.454825,0.23900715,0.2387271
