epoch,loss,policy_loss,val_loss,val_policy_loss,val_value_loss,value_loss
0,6.147729710235596,5.3682427,5.135657739639282,4.7888217,0.23887011,0.24083497
1,4.982540855255127,4.615473,5.070277357101441,4.6543245,0.23897564,0.2398995
2,4.619496705780029,4.1857076,4.583276295661927,4.140249,0.2389178,0.23983458
3,4.220413390884399,3.7645164,4.510957598686218,4.057697,0.23894858,0.2398277
4,3.936278648223877,3.480347,4.467313528060913,4.00953,0.2389311,0.23983254
5,4.310452691497803,3.8711576,4.242421078681946,3.8051445,0.23896542,0.23962198
6,4.016949959259033,3.575637,4.156618905067444,3.7211614,0.23897295,0.23962231
7,3.7861327220153806,3.3384302,4.180406713485718,3.7290893,0.23896945,0.2396257
8,3.620659850692749,3.1704996,4.159424543380737,3.7103126,0.23896594,0.23961928
9,3.5042606239318848,3.0516422,4.2963951587677,3.8479965,0.23897323,0.23961864
10,4.118049539642334,3.6875522,4.039977097511292,3.619156,0.2389466,0.23939049
11,3.8821034410095216,3.451858,3.946047472953796,3.5163236,0.23889855,0.2393888
12,3.6860596003723143,3.2547526,4.0461811304092405,3.6135857,0.23891082,0.23938687
13,3.530361138153076,3.0974495,4.002362251281738,3.570397,0.23886538,0.23937993
14,3.4137428239440917,2.9779499,4.025686097145081,3.594815,0.2389595,0.2393855
15,3.9833615213775633,3.5644484,3.8482227087020875,3.4367223,0.23893261,0.2398742
16,3.760098184967041,3.3422737,4.123577094078064,3.7078533,0.23893063,0.23986696
17,3.579146367721558,3.1580763,4.163240909576416,3.7447376,0.23893161,0.239877
18,3.4278413721466063,3.0062296,4.289594531059265,3.8677456,0.23893228,0.23987196
19,3.3107485304260256,2.8868349,4.097032833099365,3.6742783,0.23892474,0.23987111
0,3.9301998287963866,3.5190806,3.9490874290466307,3.5429986,0.23894083,0.23938183
1,3.7099630921173095,3.301181,3.8924551486968992,3.48204,0.23894,0.23938003
2,3.533617751083374,3.1216738,3.9952548027038572,3.5819354,0.23895116,0.23937774
3,3.3915788245391845,2.9748373,3.9846861600875854,3.5676887,0.23893914,0.23937856
4,3.2789436599731445,2.8576355,4.083147478103638,3.6616006,0.23894522,0.23937917
5,3.893345980834961,3.4838426,3.9276644229888915,3.5253892,0.23895566,0.23954718
6,3.6858739599609374,3.2806141,3.9304136514663695,3.5265744,0.23895526,0.23954736
7,3.516624106140137,3.1081455,3.9226461172103884,3.514288,0.23895545,0.23954654
8,3.371249010772705,2.9587517,3.9636882305145265,3.553049,0.23895743,0.23954603
9,3.260893801574707,2.8453903,4.037497329711914,3.6232402,0.23895752,0.23954512
10,3.8501244686889646,3.445247,3.925858569145203,3.5257523,0.23893611,0.23880579
11,3.647997036819458,3.2447789,3.9304013013839723,3.528247,0.23893464,0.23880243
12,3.4828632302093507,3.0762618,4.041815328598022,3.6352794,0.23892467,0.23879927
13,3.342037141494751,2.9316792,4.044133281707763,3.6341934,0.23893304,0.23879997
14,3.2298302129745484,2.816416,4.058975386619568,3.6458907,0.23893425,0.23879865
15,3.8382145755004884,3.4350958,3.912290835380554,3.51451,0.2389292,0.23988593
16,3.64877763381958,3.2469254,3.950324535369873,3.5470815,0.23893046,0.23988546
17,3.4865203715515136,3.0797262,3.973240685462952,3.5676315,0.23892334,0.23988248
18,3.3436234278869628,2.933697,3.9715589046478272,3.5635078,0.238929,0.23988584
19,3.2294665451812743,2.8165245,4.039481854438781,3.627723,0.23890968,0.23988317
